dist_top, dist_bottom, dist_left, dist_right, dist_head_tail, dist_candy, move, score, result
-1, -1, -1, -1, -1, -1,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 1017.7941835164908,1,0,1
883.0, 87.0, 46.0, 901.0, 53.9351462406472, 950.3515139147198,1,0,1
755.0, 215.0, 46.0, 901.0, 123.06502346320826, 864.592389510803,1,0,1
627.0, 343.0, 46.0, 901.0, 189.02380802428036, 790.341698254622,0,0,1
499.0, 471.0, 46.0, 901.0, 253.00790501484337, 731.1142181629352,0,0,1
339.0, 631.0, 46.0, 901.0, 334.0059879702758, 684.0818664458224,0,0,1
211.0, 759.0, 46.0, 901.0, 398.0012562794243, 672.0,3,0,1
147.0, 823.0, 142.0, 805.0, 397.28075714788906, 579.5446488407947,2,0,1
147.0, 823.0, 270.0, 677.0, 396.16410741004796, 452.54833995939043,3,0,1
147.0, 823.0, 398.0, 549.0, 429.21905829075206, 326.3372488699382,3,0,1
147.0, 823.0, 558.0, 389.0, 497.99297183795676, 172.32527382830412,3,0,1
